country,IATA,ICAO,name,name_en
AE,EK,UAE,阿联酋航空,Emirates
AE,EY,ETD,阿提哈德航空,Etihad Airways
AM,U8,RNV,亚美尼航空,Armavia
AO,DT,DTA,TAAG安哥拉航空,TAAG Angola Airlines
AR,4D,DSM,LAN阿根廷航空,LAN Argentina
AR,AR,ARG,阿根廷航空,Aerolíneas Argentinas
AR,AU,AUT,阿根廷南方航空,Austral Líneas Aéreas
AT,3L,ISK,InterSky航空,InterSky
AT,OS,AUA,奥地利航空,Austrian Airlines
AU,QF,QFA,澳洲航空,Qantas Airlines
AU,VA,VOZ,维珍澳洲航空,Virgin Australia
AZ,J2,AHY,阿塞拜疆航空,Azerbaijan Airlines
BA,JA,BON,波赫航空,B&H Airlines
BD,BG,BBC,孟加拉航空,Biman Bangladesh Airlines
BE,3V,TAY,TNT航空,TNT Airways
BE,SN,BEL,布鲁塞尔航空,Brussels Airlines
BG,FB,LZB,保加利亚航空,Bulgaria Air
BH,GF,GFA,海湾航空,Gulf Air
BN,BI,RBA,文莱皇家航空,Royal Brunei Airlines
BR,AD,AZU,蓝色巴西航空,AZUL Airlines
BR,G3,GLO,高尔航空,Gol Transportes Aéreos
BR,JJ,TAM,巴西天马航空,TAM Airlines
BR,O6,ONE,巴西哥伦比亚航空,Avianca Brazil
BW,BP,BOT,博茨瓦纳航空,Air Botswana
BY,B2,BRU,白俄罗斯航空,Belavia Belarusian Airlines
CA,AC,ACA,加拿大航空,Air Canada
CA,TS,TSC,越洋航空,Air Transat
CA,W8,CJT,喷射货运航空,Cargojet
CH,LX,SWR,瑞士国际航空,Swiss International Air Lines
CH,PT,PTI,瑞士私人航空,PrivatAir
CL,LA,LAN,智利国家航空,LAN Airlines
CL,UC,LCO,智利国家航空货运,LAN Cargo
CM,QC,CRD,喀麦隆航空,Camair-Co
CN,3U,CSC,四川航空,Sichuan Airlines
CN,8L,LKE,祥鹏航空,Lucky Air
CN,9C,CQH,春秋航空,Spring Airlines
CN,9H,CGN,长安航空,Air Chang'an
CN,NS,HBH,河北航空,Hebei Airlines
CN,RY,CJX,江西航空,Jiangxi Air
CN,UQ,CUH,乌鲁木齐航空,Urumqi Air
CN,TV,TBA,西藏航空,Tibet Airlines
CN,PN,CHB,中國西部航空,China West Air
CN,AQ,JYH,九元航空,9 Air
CN,BK,OKA,奥凯航空,Okay Airways
CN,CA,CCA,中国国际航空,Air China
CN,CK,CKK,中国货运航空,China Cargo Airlines
