country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
JP,RJAA,NRT,Tokyo,Tokyo Narita International Airport,35.764721,140.386307,Asia/Tokyo,东京,成田
JP,RJAF,MMJ,Matsumoto,Matsumoto Airport,36.166752,137.922607,Asia/Tokyo,松本,松本
JP,RJAH,IBR,Omitama,Omitama Ibaraki Airport,36.181667,140.414719,Asia/Tokyo,Ibaraki,Hyakuri
JP,RJAM,MUS,,,24.289699,153.979003,Asia/Tokyo,Minami Tori Shima,Minami Torishima
JP,RJAW,IWO,,,24.784,141.322998,Asia/Tokyo,Iwojima,Iwo Jima
JP,RJBB,KIX,Osaka,Osaka Kansai International Airport,34.427299,135.244003,Asia/Tokyo,大阪,关西
JP,RJBD,SHM,Nanki Shirahama,Nanki Shirahama Airport,33.66222,135.364395,Asia/Tokyo,南纪白滨,nullki Shirahama
JP,RJBE,UKB,Kobe,Kobe Airport,34.632771,135.223801,Asia/Tokyo,神户,Kobe
JP,RJBH,HIW,,,34.366901,132.414001,Asia/Tokyo,广岛,广岛nishi
JP,RJBT,TJH,Tajima,Tajima Airport,35.512798,134.787003,Asia/Tokyo,Toyooka,Tajima
JP,RJCB,OBO,Obihiro,Obihiro Tokachi Airport,42.73333,143.217194,Asia/Tokyo,带广,Tokachi-Obihiro
JP,RJCC,CTS,Sapporo,Sapporo New Chitose Airport,42.7752,141.6922,Asia/Tokyo,札幌,札幌新千岁
JP,RJCH,HKD,Hakodate,Hakodate Airport,41.77,140.821899,Asia/Tokyo,函馆,Hakodate
JP,RJCK,KUH,Kushiro,Kushiro Airport,43.040958,144.192902,Asia/Tokyo,钏路,Kushiro
JP,RJCM,MMB,Memanbetsu,Memanbetsu Airport,43.8806,144.164001,Asia/Tokyo,女满别,Memanbetsu
JP,RJCN,SHB,Nakashibetsu,Nakashibetsu Airport,43.577499,144.960007,Asia/Tokyo,中标津,Nakashibetsu
JP,RJCO,OKD,Sapporo,Sapporo Okadama Airport,43.1143,141.383102,Asia/Tokyo,札幌,Okadama
JP,RJCW,WKJ,Wakkanai,Wakkanai Airport,45.40416,141.800797,Asia/Tokyo,稚内,Wakkanai
JP,RJDA,AXJ,Amakusa,Amakusa Airport,32.483261,130.15564,Asia/Tokyo,Amakusa,Amakusa
JP,RJDB,IKI,Iki,Iki Airport,33.74902,129.7854,Asia/Tokyo,Iki,Iki
JP,RJDC,UBJ,Ube,Ube Yamaguchi Airport,33.93,131.278595,Asia/Tokyo,山口,Yamaguchi Ube
JP,RJDT,TSJ,Tsushima,Tsushima Airport,34.284882,129.330505,Asia/Tokyo,Tsushima,Tsushima
JP,RJEB,MBE,Monbetsu,Monbetsu Airport,44.303909,143.404007,Asia/Tokyo,纹别,Monbetsu
JP,RJEC,AKJ,Asahikawa,Asahikawa Airport,43.67083,142.447495,Asia/Tokyo,旭川,旭川
JP,RJEO,OIR,Okushiri,Okushiri,42.071659,139.432907,Asia/Tokyo,Okushiri,Okushiri
JP,RJER,RIS,Rishiri,Rishiri Airport,45.242001,141.186401,Asia/Tokyo,Rishiri Island,Rishiri
JP,RJFC,KUM,Yakushima,Yakushima Airport,30.385559,130.658997,Asia/Tokyo,Yakushima,Yakushima
JP,RJFE,FUJ,Fukue,Fukue Airport,32.66626,128.832794,Asia/Tokyo,Fukue,Fukue
JP,RJFF,FUK,Fukuoka,Fukuoka Airport,33.585941,130.450607,Asia/Tokyo,福冈,福冈
JP,RJFG,TNE,Tanegashima,Tanegashima Airport,30.605061,130.991196,Asia/Tokyo,Tanegashima,New Tanegashima
JP,RJFK,KOJ,Kagoshima,Kagoshima Airport,31.803391,130.719406,Asia/Tokyo,鹿儿岛,鹿儿岛
JP,RJFM,KMI,Miyazaki,Miyazaki Airport,31.87722,131.448593,Asia/Tokyo,宫崎,宫崎
JP,RJFO,OIT,Oita,Oita Airport,33.479439,131.737198,Asia/Tokyo,大分,Oita
JP,RJFR,KKJ,Kitakyushu,Kitakyushu Airport,33.84594,131.034607,Asia/Tokyo,北九州,北九州
JP,RJFS,HSG,Saga,Saga Airport,33.153828,130.30278,Asia/Tokyo,佐贺,Saga
JP,RJFT,KMJ,Kumamoto,Kumamoto Airport,32.837311,130.854996,Asia/Tokyo,熊本,熊本
JP,RJFU,NGS,Nagasaki,Nagasaki Airport,32.916939,129.913605,Asia/Tokyo,长崎,Nagasaki
JP,RJGG,NGO,Nagoya,Nagoya Chubu Centrair International Airport,34.85841,136.805405,Asia/Tokyo,名古屋,名古屋中部
JP,RJKA,ASJ,Amami,Amami Airport,28.43063,129.712494,Asia/Tokyo,奄美,奄美
JP,RJKB,OKE,Okierabu,Okierabu Airport,27.425501,128.701004,Asia/Tokyo,Okierabu,Okierabu
JP,RJKI,KKX,Kikai,Kikai Airport,28.321301,129.927994,Asia/Tokyo,Kikai,Kikai
JP,RJKN,TKN,Tokunoshima,Tokunoshima Airport,27.83638,128.881195,Asia/Tokyo,Tokunoshima,Tokunoshima
JP,RJNA,NKM,Nagoya,Nagoya Komaki Airport,35.25,136.919998,Asia/Tokyo,名古屋,名古屋
JP,RJNF,FKJ,,,36.142799,136.223999,Asia/Tokyo,Fukui,Fukui
JP,RJNG,QGU,,,35.3941,136.869995,Asia/Tokyo,Gifu,Gifu
JP,RJNK,KMQ,Komatsu,Komatsu Airport,36.394611,136.406494,Asia/Tokyo,小松,小松
JP,RJNO,OKI,Oki,Oki Airport,36.181122,133.324799,Asia/Tokyo,Oki Island,Oki
JP,RJNS,FSZ,Shizuoka,Shizuoka Airport,34.796108,138.189407,Asia/Tokyo,静冈,静冈
JP,RJNT,TOY,Toyama,Toyama Airport,36.648331,137.1875,Asia/Tokyo,富山,Toyama
JP,RJNW,NTQ,Wajima,Wajima Noto Airport,37.293098,136.961853,Asia/Tokyo,轮岛,Noto
JP,RJOA,HIJ,Hiroshima,Hiroshima Airport,34.436111,132.919403,Asia/Tokyo,广岛,广岛
JP,RJOB,OKJ,Okayama,Okayama Airport,34.756939,133.855194,Asia/Tokyo,冈山,冈山
JP,RJOC,IZO,Izumo,Izumo Airport,35.413609,132.889893,Asia/Tokyo,出云,Izumo
JP,RJOH,YGJ,Yonago,Yonago Miho Airport,35.492222,133.236298,Asia/Tokyo,米子,Miho Yonago
JP,RJOI,IWK,Iwakuni,Iwakuni Kintaikyo Airport,34.135277,132.23555,Asia/Tokyo,,
JP,RJOK,KCZ,Nankoku,Kochi Airport,33.546108,133.669403,Asia/Tokyo,高知,Kōchi Ryōma
JP,RJOM,MYJ,Matsuyama,Matsuyama Airport,33.827221,132.699707,Asia/Tokyo,松山,松山
JP,RJOO,ITM,Osaka,Osaka International Airport,34.785519,135.438202,Asia/Tokyo,大阪,伊丹
JP,RJOR,TTJ,Tottori,Tottori Airport,35.53006,134.166504,Asia/Tokyo,鸟取,Tottori
JP,RJOS,TKS,Tokushima,Tokushima Airport,34.132801,134.606598,Asia/Tokyo,德岛,Tokushima /JMSDF Air Base
JP,RJOT,TAK,Takamatsu,Takamatsu Airport,34.214161,134.015503,Asia/Tokyo,高松,高松
JP,RJOW,IWJ,Masuda,Masuda Hagi Iwami Airport,34.676388,131.790283,Asia/Tokyo,石见,Iwami
JP,RJSA,AOJ,Aomori,Aomori Airport,40.734718,140.690796,Asia/Tokyo,青森,青森
JP,RJSC,GAJ,Yamagata,Yamagata Airport,38.411888,140.371307,Asia/Tokyo,山形,Yamagata
JP,RJSD,SDS,,,38.060199,138.414001,Asia/Tokyo,Sado,Sado
JP,RJSF,FKS,Sukagawa,Fukushima Airport,37.227428,140.430603,Asia/Tokyo,Fukushima,Fukushima
JP,RJSH,HHE,,,40.5564,141.466003,Asia/Tokyo,Hachinoe,Hachinohe
JP,RJSI,HNA,Hanamaki,Hanamaki Airport,39.428612,141.135193,Asia/Tokyo,花卷,Hanamaki
JP,RJSK,AXT,Akita,Akita Airport,39.615551,140.218597,Asia/Tokyo,秋田,秋田
JP,RJSM,MSJ,Misawa,Misawa Airport,40.70322,141.368301,Asia/Tokyo,三泽,Misawa Air Base
JP,RJSN,KIJ,Niigata,Niigata Airport,37.955891,139.120697,Asia/Tokyo,新潟,新潟
JP,RJSR,ONJ,Kitaakita,Kitaakita Odate Noshiro Airport,40.196415,140.373825,Asia/Tokyo,大馆能代,Odate Noshiro
JP,RJSS,SDJ,Sendai,Sendai Airport,38.139721,140.916901,Asia/Tokyo,仙台,仙台
JP,RJSY,SYO,Sakata,Sakata Shonai Airport,38.809444,139.790558,Asia/Tokyo,庄内,Shonai
JP,RJTA,NJA,,,35.454601,139.449996,Asia/Tokyo,Atsugi,Atsugi Naval Air Facility
JP,RJTH,HAC,Hachijojima,Hachijojima Airport,33.115002,139.785797,Asia/Tokyo,八丈岛,Hachijojima
JP,RJTO,OIM,,,34.782001,139.36,Asia/Tokyo,Oshima,Oshima
JP,RJTQ,MYE,,,34.0736,139.559997,Asia/Tokyo,Miyakejima,Miyakejima
JP,RJTT,HND,Tokyo,Tokyo Haneda International Airport,35.55225,139.779602,Asia/Tokyo,东京,羽田
JP,RJTY,OKO,,,35.7485,139.348007,Asia/Tokyo,Yokota,Yokota Air Base
JP,ROAH,OKA,Naha,Naha Airport,26.19581,127.645798,Asia/Tokyo,那霸,那霸
JP,RODN,DNA,,,26.3556,127.767998,Asia/Tokyo,Kadena,Kadena Air Base
