country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
AE,AAN,OMAL,Al Ain,Al Ain,24.261699,55.609199,Asia/Dubai,,
AE,AUH,OMAA,阿布扎比,Abu Dhabi,24.43297,54.651131,Asia/Dubai,Abu Dhabi,Abu Dhabi
AE,AZI,OMAD,阿布扎比,Bateen,24.4283,54.458099,Asia/Dubai,,
AE,DHF,OMAM,阿布扎比,Al Dhafra Air Base,24.248199,54.547698,Asia/Dubai,,
AE,DWC,OMDW,迪拜,Al Maktoum,24.88611,55.172222,Asia/Dubai,Dubai,Dubai World Central
AE,DXB,OMDB,迪拜,Dubai,25.252769,55.364441,Asia/Dubai,Dubai,Dubai
AE,FJR,OMFJ,Fujeirah,Fujairah,25.112199,56.324001,Asia/Dubai,,
AE,NHD,OMDM,Minhad AB,Al Minhad Air Base,25.0268,55.366199,Asia/Dubai,,
AE,RKT,OMRK,Ras Al Khaimah,Ras Al Khaimah,25.6135,55.9388,Asia/Dubai,,
AE,SHJ,OMSJ,Sharjah,Sharjah,25.328569,55.517151,Asia/Dubai,Sharjah,Sharjah
AE,XSB,OMBY,Sir Bani Yas Island,Sir Bani Yas,24.283611,52.580278,Asia/Dubai,,
AF,BIN,OABN,Bamyan,Bamiyan,34.817001,67.817001,Asia/Kabul,,
AF,BST,OABT,Lashkar Gah,Bost,31.5597,64.364997,Asia/Kabul,,
AF,CCN,OACC,Chaghcharan,Chakcharan,34.533,65.266998,Asia/Kabul,,
AF,FBD,OAFZ,Faizabad,Fayzabad,37.121101,70.518097,Asia/Kabul,,
AF,HEA,OAHR,Herat,Herat,34.209999,62.228298,Asia/Kabul,,
AF,JAA,OAJL,Jalalabad,Jalalabad,34.399799,70.498596,Asia/Kabul,,
AF,KBL,OAKB,Kabul,Kabul,34.565898,69.212303,Asia/Kabul,,
AF,KDH,OAKN,Kandahar,Kandahar,31.5058,65.847801,Asia/Kabul,,
AF,KHT,OAKS,Khost,Khost,33.3334,69.952003,Asia/Kabul,,
AF,MMZ,OAMN,Maimama,Maimana,35.930801,64.760902,Asia/Kabul,,
AF,MZR,OAMS,Mazar-i-sharif,Mazar I Sharif,36.706901,67.209701,Asia/Kabul,,
AF,OAH,OASD,Shindand,Shindand,33.3913,62.261001,Asia/Kabul,,
AF,OAI,OAIX,Kabul,Bagram Air Base,34.946098,69.264999,Asia/Kabul,,
AF,OAS,OASA,Sharona,Sharana Airstrip,33.12575,68.838517,Asia/Kabul,,
AF,OAZ,OAZI,Camp Bastion,Camp Bastion,31.8638,64.224601,Asia/Kabul,,
AF,TII,OATN,Tarin Kowt,Tarin Kowt,32.604198,65.865798,Asia/Kabul,,
AF,UND,OAUZ,Kunduz,Konduz,36.6651,68.910797,Asia/Kabul,,
AF,ZAJ,OAZJ,Zaranj,Zaranj,30.972222,61.865833,Asia/Kabul,,
AG,ANU,TAPA,Antigua,V.C. Bird,17.13674,-61.792599,America/Antigua,Antigua,Antigua V. C. Bird
AG,BBQ,TAPH,Codrington,Codrington,17.635799,-61.828602,America/Antigua,,
AI,AXA,TQPF,The Valley,Clayton J Lloyd,18.2048,-63.055099,America/Anguilla,,
AL,TIA,LATI,Tirana,Tirana Mother Teresa,41.414742,19.72056,Europe/Tirane,Tirana,Tirana
AM,EVN,UDYZ,Yerevan,Zvartnots,40.14727,44.395882,Asia/Yerevan,Yerevan,Yerevan Zvartnots
AM,LWN,UDSG,Gyumri,Gyumri Shirak,40.7504,43.859298,Asia/Yerevan,,
AO,BUG,FNBG,Benguela,Benguela,-12.609,13.403699,Africa/Luanda,,
AO,CAB,FNCA,Cabinda,Cabinda,-5.59699,12.1884,Africa/Luanda,,
AO,CBT,FNCT,Catumbela,Catumbela,-12.4792,13.4869,Africa/Luanda,,
AO,DUE,FNDU,Dundo,Dundo,-7.400889,20.8185,Africa/Luanda,,
AO,GXG,FNNG,Negage,Negage,-7.754509,15.287699,Africa/Luanda,,
AO,LAD,FNLU,Luanda,Quatro de Fevereiro,-8.85837,13.23117,Africa/Luanda,Luanda,Luanda Quatro de Fevereiro
AO,LBZ,FNLK,Lucapa,Lucapa,-8.445727,20.732086,Africa/Luanda,,
AO,LUO,FNUE,Luena,Luena,-11.768099,19.897699,Africa/Luanda,,
AO,MEG,FNMA,Malanje,Malanje,-9.52509,16.3124,Africa/Luanda,,
AO,MSZ,FNMO,Mocamedes,Namibe,-15.261199,12.1468,Africa/Luanda,,
AO,NOV,FNHU,Huambo,Nova Lisboa,-12.808899,15.760499,Africa/Luanda,,
AO,NZA,FNZG,Nzagi,Nzagi,-7.716939,21.3582,Africa/Luanda,,
AO,PBN,FNPA,Porto Amboim,Porto Amboim,-10.722,13.7655,Africa/Luanda,,
AO,SDD,FNUB,Lubango,Lubango,-14.924699,13.574999,Africa/Luanda,,
AO,SPP,FNME,Menongue,Menongue,-14.6576,17.7198,Africa/Luanda,,
AO,SSY,FNBC,M'banza-congo,Mbanza Congo,-6.269899,14.246999,Africa/Luanda,,
AO,SVP,FNKU,Kuito,Kuito,-12.4046,16.947399,Africa/Luanda,,
AO,SZA,FNSO,Soyo,Soyo,-6.141089,12.3718,Africa/Luanda,,
AO,UGO,FNUG,Uige,Uige,-7.603069,15.027799,Africa/Luanda,,
AO,VHC,FNSA,Saurimo,Saurimo,-9.689069,20.4319,Africa/Luanda,,
AO,VPE,FNGI,Ondjiva,Ngjiva Pereira,-17.0435,15.683799,Africa/Luanda,,
AO,XGN,FNXA,Xangongo,Xangongo,-16.755399,14.965299,Africa/Luanda,,
AQ,TNM,SCRM,Isla Rey Jorge,Teniente Rodolfo Marsh Martin Base,-62.190799,-58.986698,Antarctica/South_Pole,,
AR,AEP,SABE,Buenos Aires,Jorge Newbery Airpark,-34.5592,-58.4156,America/Buenos_Aires,,
AR,AFA,SAMR,San Rafael,Suboficial Ay Santiago Germano,-34.588299,-68.4039,America/Mendoza,,
AR,AOL,SARL,Paso De Los Libres,Paso De Los Libres,-29.6894,-57.1521,America/Cordoba,,
AR,APZ,SAHZ,ZAPALA,Zapala,-38.975498,-70.113602,America/Argentina/Salta,,
AR,ARR,SAVR,Alto Rio Senguer,D. Casimiro Szlapelis,-45.013599,-70.812202,America/Catamarca,,
AR,BHI,SAZB,Bahia Blanca,Comandante Espora,-38.725,-62.1693,America/Buenos_Aires,,
AR,BRC,SAZS,San Carlos De Bariloche,San Carlos De Bariloche,-41.151199,-71.157501,America/Argentina/Salta,,
AR,CNQ,SARC,Corrientes,Corrientes,-27.4455,-58.7619,America/Cordoba,,
AR,COC,SAAC,Concordia,Comodoro Pierrestegui,-31.2969,-57.9966,America/Cordoba,,
AR,COR,SACO,Cordoba,Ingeniero Ambrosio Taravella,-31.323601,-64.207901,America/Cordoba,Cordoba,Cordoba
AR,CPC,SAZY,San Martin Des Andes,Aviador C. Campos,-40.075401,-71.137299,America/Argentina/Salta,,
AR,CRD,SAVC,Comodoro Rivadavia,General E. Mosconi,-45.7853,-67.4655,America/Catamarca,,
AR,CSZ,SAZC,Colonel Suarez,Brigadier D.H.E. Ruiz,-37.446098,-61.889301,America/Buenos_Aires,,
AR,CTC,SANC,Catamarca,Catamarca,-28.5956,-65.751701,America/Catamarca,,
AR,CUT,SAZW,Cutralco,Cutral-Co,-38.939701,-69.264602,America/Argentina/Salta,,
AR,EHL,SAVB,El Bolson,El Bolson,-41.943199,-71.532302,America/Argentina/Salta,,
AR,ELO,SATD,El Dorado,El Dorado,-26.397499,-54.574699,America/Cordoba,,
AR,EPA,SADP,El Palomar,El Palomar,-34.6099,-58.6126,America/Buenos_Aires,,
AR,EQS,SAVE,Esquel,Brigadier Antonio Parodi,-42.908,-71.139503,America/Catamarca,,
AR,EZE,SAEZ,Buenos Aires,Ministro Pistarini,-34.822201,-58.535801,America/Buenos_Aires,Buenos Aires,Buenos Aires Ministro Pistarini
AR,FDO,SADF,San Fernulldo,San Fernulldo,-34.4532,-58.5896,America/Buenos_Aires,,
AR,FMA,SARF,Formosa,Formosa,-26.2127,-58.2281,America/Cordoba,,
AR,FTE,SAWC,El Calafate,El Calafate,-50.2803,-72.053101,America/Argentina/Rio_Gallegos,,
AR,GGS,SAWR,Gobernador Gregores,Gobernador Gregores,-48.7831,-70.150002,America/Argentina/Rio_Gallegos,,
AR,GHU,SAAG,Gualeguaychu,Gualeguaychu,-33.0103,-58.6131,America/Cordoba,,
AR,GNR,SAHR,Fuerte Gral Roca,Dr. Arturo H. Illia,-39.000701,-67.620498,America/Argentina/Salta,,
AR,GPO,SAZG,General Pico,General Pico,-35.696201,-63.7583,America/Argentina/Salta,,
AR,HOS,SAHC,Chosmadal,Chos Malal,-37.444698,-70.222503,America/Argentina/Salta,,
AR,IGB,SAVJ,Ingeniero Jacobacci,Cabo F.A.A. H. R. Bordón,-41.320899,-69.574897,America/Argentina/Salta,,
AR,IGR,SARI,Iguazu Falls,Cataratas Del Iguazú,-25.737301,-54.4734,America/Cordoba,,
AR,ING,SAWA,El Calafate,Lago Argentino,-50.336102,-72.248596,America/Argentina/Rio_Gallegos,,
AR,IRJ,SANL,La Rioja,Capitan V A Almonacid,-29.381599,-66.795799,America/Argentina/La_Rioja,,
