country,ICAO,IATA,city,name,latitude,longitude,timezone,city_en,name_en
US,KAAF,AAF,Apalachicola,Apalachicola Regional,29.7275,-85.027496,America/New_York, , 
US,KAAP,AAP,休斯顿,Andrau Airpark,29.722499,-95.588302,America/Chicago, , 
US,KABE,ABE,Allentown,Lehigh Valley,40.652302,-75.440399,America/New_York,Allentown,Allentown Lehigh Valley
US,KABI,ABI,Abilene,Abilene Regional,32.411301,-99.681801,America/Chicago,Abilene,Abilene Regional
US,KABQ,ABQ,Albuquerque,AlbuquerqueSunport,35.040218,-106.609001,America/Denver,Albuquerque,Albuquerque
US,KABR,ABR,Aberdeen,Aberdeen Regional,45.439999,-98.419998,America/Chicago,Aberdeen,Aberdeen Regional
US,KABY,ABY,Albany,Southwest Georgia Regional,31.535509,-84.194397,America/New_York,Albany,Albany Southwest Georgia Regional
US,KACK,ACK,nulltucket,nulltucket Memorial,41.253052,-70.060097,America/New_York,nulltucket,nulltucket Memorial
US,KACT,ACT,Waco,Waco Regional,31.61128,-97.230499,America/Chicago,Waco,Waco Regional
US,KACV,ACV,Arcata CA,California Redwood Coast-Humboldt County,40.978111,-124.108002,America/Los_Angeles,Eureka,Eureka Arcata
US,KACY,ACY,Atlantic City,Atlantic City,39.457581,-74.577103,America/New_York,Atlantic City,Atlantic City
US,KADH,ADT,Ada,Ada Regional,34.804298,-96.671303,America/Chicago, , 
US,KADM,ADM,Ardmore,Ardmore Municipal,34.303009,-97.0196,America/Chicago,Ardmore,Ardmore Municipal
US,KADS,ADS,Addison,Addison,32.959999,-96.830002,America/Chicago,Dallas,Dallas Addison
US,KADW,ADW,Camp Springs,Andrews Air Force Base,38.810799,-76.866997,America/New_York, , 
US,KAEX,AEX,Alexandria,Alexandria,31.32737,-92.5485,America/Chicago,Alexandria,Alexandria
US,KAFW,AFW,Fort Worth,Fort Worth Alliance,32.98,-97.309998,America/Chicago,Fort Worth,Fort Worth Alliance
US,KAGC,AGC,Pittsburgh,Allegheny County,40.3544,-79.930198,America/New_York, , 
US,KAGS,AGS,Bush Field,Augusta Regional At Bush Field,33.369942,-81.9645,America/New_York,Augusta,Augusta Regional
US,KAHN,AHN,Athens,Athens Ben Epps,33.9486,-83.326301,America/New_York, , 
US,KAIA,AIA,Alliance,Alliance Municipal,42.053219,-102.803001,America/Denver,Alliance,Alliance Municipal
US,KAIK,AIK,Aiken,Aiken Municipal,33.649398,-81.684997,America/New_York, , 
US,KAIZ,AIZ,Kaiser Lake Ozark,Lee C Fine Memorial,38.096,-92.549499,America/Chicago, , 
US,KAKO,AKO,Akron,Colorado Plains Regional,40.175598,-103.222,America/Denver, , 
US,KAKR,AKC,Akron,Akron Fulton,41.037498,-81.466903,America/New_York, , 
US,KALB,ALB,Albany,Albany,42.749111,-73.801903,America/New_York,Albany,Albany
US,KALI,ALI,Alice,Alice,27.7409,-98.026901,America/Chicago, , 
US,KALM,ALM,Alamogordo,Alamogordo White Sands Regional,32.8399,-105.990997,America/Denver, , 
US,KALO,ALO,Waterloo,Waterloo Regional,42.549999,-92.400002,America/Chicago,Waterloo,Waterloo Regional
US,KALS,ALS,Alamosa,San Luis Valley Regional Bergman Field,37.43491,-105.865997,America/Denver,Alamosa,Alamosa San Luis Valley Regional
