country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
MY,null,LBP,Long Banga,Long Banga Airfield,3.2,115.400002,Asia/Kuala_Lumpur,,
MY,WBGB,BTU,Bintulu,Bintulu Airport,3.12385,113.020401,Asia/Kuala_Lumpur,民都鲁,民都鲁机场
MY,WBGF,LGL,Long Datih,Long Lellang Airport,3.421,115.153999,Asia/Kuala_Lumpur,,
MY,WBGG,KCH,Kuching,Kuching International Airport,1.484697,110.346901,Asia/Kuala_Lumpur,古晋,古晋国际机场
MY,WBGI,ODN,Long Seridan,Long Seridan Airport,3.976111,115.063301,Asia/Kuala_Lumpur,,
MY,WBGJ,LMN,Limbang,Limbang Airport,4.808303,115.010399,Asia/Kuala_Lumpur,,
MY,WBGK,MKM,Mukah,Mukah Airport,2.906944,112.074997,Asia/Kuala_Lumpur,,
MY,WBGL,LKH,Long Akah,Long Akah Airport,3.3,114.782997,Asia/Kuala_Lumpur,,
MY,WBGM,MUR,Marudi,Marudi Airport,4.1775,114.321899,Asia/Kuala_Lumpur,,
MY,WBGO,BKM,Bakelalan,Bakelalan Airport,3.988611,115.618797,Asia/Kuala_Lumpur,,
MY,WBGR,MYY,Miri,Miri Airport,4.322014,113.986801,Asia/Kuala_Lumpur,美里,美里机场
MY,WBGS,SBW,Sibu,Sibu Airport,2.261603,111.985298,Asia/Kuala_Lumpur,诗巫,诗巫机场
MY,WBGW,LWY,Lawas,Lawas Airport,4.849167,115.402702,Asia/Kuala_Lumpur,,
MY,WBGZ,BBN,Bario,Bario Airport,3.736944,115.469398,Asia/Kuala_Lumpur,,
MY,WBKD,LDU,Lahad Datu,Lahad Datu Airport,5.032247,118.323997,Asia/Kuala_Lumpur,拿笃,拿笃机场
MY,WBKK,BKI,Kota Kinabalu,Kota Kinabalu International Airport,5.937208,116.051102,Asia/Kuala_Lumpur,亚庇,亚庇国际机场
MY,WBKL,LBU,Labuan,Labuan Airport,5.300683,115.250099,Asia/Kuala_Lumpur,纳闽,纳闽机场
MY,WBKS,SDK,Sandakan,Sandakan Airport,5.900897,118.059402,Asia/Kuala_Lumpur,山打根,山打根机场
MY,WBKT,KUD,Kudat,Kudat Airport,6.924167,116.830803,Asia/Kuala_Lumpur,古达,古达机场
MY,WBKW,TWU,Tawau,Tawau Airport,4.313369,118.121902,Asia/Kuala_Lumpur,斗湖,斗湖机场
MY,WBMU,MZV,Mulu,Mulu Airport,4.05,114.800003,Asia/Kuala_Lumpur,,
MY,WBTM,TGC,Tanjung Manis,Tanjung Manis Airport,2.177778,111.201942,Asia/Kuala_Lumpur,,
MY,WMKA,AOR,Alor Setar,Alor Setar Sultan Abdul Halim Airport,6.189667,100.398102,Asia/Kuala_Lumpur,,
MY,WMKC,KBR,Kota Bharu,Kota Bharu Sultan Ismail Petra Airport,6.16685,102.292999,Asia/Kuala_Lumpur,,
MY,WMKD,KUA,Kuantan,Kuantan Sultan Haji Ahmad Shah Airport,3.775389,103.209,Asia/Kuala_Lumpur,,
