country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name,2019旅客,2018旅客,2019货物,2018货物,2019起降,2018起降
CN,null,HBQ,Qilian,Haibei Airport,38.008331,100.640831,Asia/Shanghai,海北,海北祁连机场,31566,13137,141.7,,536,236
CN,ZBAA,PEK,Beijing,Beijing Capital International Airport,40.084152,116.592735,Asia/Shanghai,北京,北京首都国际机场,100013642,100983290,1955286.0,2074005.4,594329,614022
CN,ZBAD,PKX,Beijing,Beijing Daxing International Airport,39.509167,116.410553,Asia/Shanghai,北京,北京大兴国际机场,3135074,,7362.3,,21048,
CN,ZBAL,AXF,Alxa Left Banner,Alxa Left Banner Airport,38.823318,105.630966,Asia/Shanghai,阿拉善左旗,阿拉善左旗巴彦浩特机场,156042,165858,0.9,1.4,4830,6164
CN,ZBAR,RHT,Alxa Right Banner,Alxa Right Banner Airport,39.213387,101.644318,Asia/Shanghai,阿拉善右旗,阿拉善右旗巴丹吉林机场,13508,12540,0.1,,616,596
CN,ZBCD,CDE,Chengde,Chengde Puning Airport,41.122501,118.073891,Asia/Shanghai,承德,承德普宁机场,424397,436893,45.1,94.1,3218,3481
CN,ZBCF,CIF,Chifeng,Chifeng Yulong Airport,42.235001,118.908302,Asia/Shanghai,赤峰,赤峰玉龙机场,1893600,1572060,2362.1,2144.0,17451,14988
CN,ZBCZ,CIH,Changzhi,Changzhi Wangcun Airport,36.247501,113.125801,Asia/Shanghai,长治,长治王村机场,862824,690257,1045.8,777.1,10083,7876
CN,ZBDH,BPE,Qinhuangdao,Qinhuangdao Beidaihe Airport,39.666389,119.058891,Asia/Shanghai,秦皇岛,秦皇岛北戴河机场,506522,414224,378.8,513.1,26013,27001
CN,ZBDS,DSN,Ordos,Ordos Ejin Horo Airport,39.493889,109.862221,Asia/Shanghai,鄂尔多斯,鄂尔多斯伊金霍洛国际机场,2695925,2475281,10046.6,9984.4,34155,33156
CN,ZBDT,DAT,Datong,Datong Yungang Airport,40.055538,113.481361,Asia/Shanghai,大同,大同云冈机场,1307139,1016273,1923.8,1615.2,23506,28216
CN,ZBEN,EJN,Ejina Banner,Taolai Airport,42.015556,101.000557,Asia/Shanghai,额济纳旗,额济纳旗桃来机场,21549,21249,0.4,,666,644
CN,ZBER,ERL,Erenhot,Erenhot Saiwusu International Airport,43.422501,112.096664,Asia/Shanghai,二连浩特,二连浩特赛乌素机场,231969,205826,393.8,391.3,5146,4174
CN,ZBES,YIE,Arxan,Arxan Yiershi Airport,47.310555,119.911942,Asia/Shanghai,阿尔山,阿尔山伊尔施机场,104036,103880,354.2,387.3,2208,1968
CN,ZBHD,HDG,Handan,Handan Airport,36.523888,114.43,Asia/Shanghai,邯郸,邯郸机场,970700,763938,1026.1,1005.2,64904,73282
CN,ZBHH,HET,Hohhot,Hohhot Baita International Airport,40.851421,111.824097,Asia/Shanghai,呼和浩特,呼和浩特白塔国际机场,13151840,12159175,46157.1,40210.1,112159,105328
CN,ZBHZ,HUO,Holingol,Holingol Huolinhe Airport,47.316666,123.916664,Asia/Shanghai,霍林郭勒,霍林郭勒霍林河机场,83973,91923,5.3,4.1,2321,2126
CN,ZBLA,HLD,Hailar,Hailar Hulunbuir Airport,49.20499,119.824997,Asia/Shanghai,呼伦贝尔,呼伦贝尔海拉尔机场,2558413,2328816,6247.8,5767.4,21684,20126
CN,ZBLF,LFQ,Linfen,Linfen Qiaoli Airport,36.131668,111.658058,Asia/Shanghai,临汾,临汾乔李机场,768232,387321,422.5,508.9,8762,4453
CN,ZBLL,LLV,Lyuliang,Lyuliang Airport,37.683334,111.142776,Asia/Shanghai,吕梁,吕梁大武机场,458481,367304,235.1,103.2,6160,4294
CN,ZBMZ,NZH,Manzhouli,Manzhouli Xijiao Airport,49.560001,117.32,Asia/Shanghai,满洲里,满洲里西郊机场,375069,428080,882.0,1018.5,4516,4844
CN,ZBNY,NAY,Beijing,Beijing Nanyuan Airport,39.781111,116.386666,Asia/Shanghai,北京,北京南苑机场,5060412,6512740,15513.5,25122.2,33521,44468
CN,ZBOW,BAV,Baotou,Baotou Donghe Airport,40.55999,109.996902,Asia/Shanghai,包头,包头东河机场,2265867,2032157,7837.4,7144.6,19533,18980
CN,ZBSJ,SJW,Shijiazhuang,Shijiazhuang Zhengding International Airport,38.274376,114.694427,Asia/Shanghai,石家庄,石家庄正定国际机场,11922801,11332518,53229.7,46145.9,90970,89717
CN,ZBTJ,TSN,Tianjin,Tianjin Binhai International Airport,39.124352,117.3461,Asia/Shanghai,天津,天津滨海国际机场,23813318,23591412,226162.7,258734.8,167869,179414
CN,ZBTL,TGO,Tongliao,Tongliao Airport,43.55666,122.199699,Asia/Shanghai,通辽,通辽机场,1128515,983058,2042.6,1837.1,19532,43447
CN,ZBTS,TVS,Tangshan,Tangshan Sannuhe Airport,39.718784,117.99791,Asia/Shanghai,唐山,唐山三女河机场,505175,574333,1057.7,1192.2,5341,6052
CN,ZBUC,UCB,Ulanqab,Ulanqab Jining Airport,41.129723,113.108055,Asia/Shanghai,乌兰察布,乌兰察布集宁机场,164782,395951,219.3,150.6,1750,5461
CN,ZBUH,WUA,Wuhai,Wuhai Airport,39.791943,106.803329,Asia/Shanghai,乌海,乌海机场,524168,481269,724.5,659.5,5587,5694
CN,ZBUL,HLH,Ulanhot,Ulanhot Airport,46.194439,122.008598,Asia/Shanghai,乌兰浩特,乌兰浩特义勒力特机场,845020,737748,1756.7,1642.0,38129,47169
CN,ZBXH,XIL,Xilinhot,Xilinhot Airport,43.91555,115.963799,Asia/Shanghai,锡林浩特,锡林浩特机场,756113,622849,1863.8,1693.4,28361,17421
CN,ZBXZ,WUT,Xinzhou,Xinzhou Wutaishan Airport,38.599167,112.967781,Asia/Shanghai,忻州,忻州五台山机场,487202,327784,118.0,54.5,5994,4696
CN,ZBYC,YCU,Yuncheng,Yuncheng Guangong Airport,35.116669,111.039719,Asia/Shanghai,运城,运城关公机场,2484569,2052654,6078.2,5081.2,37761,34630
CN,ZBYN,TYN,Taiyuan,Taiyuan Wusu International Airport,37.746891,112.628403,Asia/Shanghai,太原,太原武宿国际机场,14002582,13588423,57626.0,53402.1,108275,107930
CN,ZBYZ,RLK,Bayannur,Bayannur Tianjitai Airport,40.926388,107.738892,Asia/Shanghai,巴彦淖尔,巴彦淖尔天吉泰机场,428865,352570,807.8,714.2,5627,4442
CN,ZBZJ,ZQZ,Zhangjiakou,Zhangjiakou Ningyuan Airport,40.739227,114.931458,Asia/Shanghai,张家口,张家口宁远机场,304009,387230,49.5,88.4,2776,3647
CN,ZBZL,NZL,Zhalantun,Zhalantun Chengjisihan Airport,47.869061,122.76841,Asia/Shanghai,扎兰屯,扎兰屯成吉思汗机场,141173,128618,61.9,21.9,14868,2562
CN,ZGBH,BHY,Beihai,Beihai Fucheng Airport,21.53944,109.2938,Asia/Shanghai,北海,北海福成机场,2679101,2282218,7216.7,6446.1,20831,18427
CN,ZGBS,AEB,Baise,Baise Bama Airport,23.719469,106.967773,Asia/Shanghai,百色,百色巴马机场,225185,180801,34.2,29.9,2908,2446
CN,ZGCD,CGD,Changde,Changde Taohuayuan Airport,28.91888,111.640198,Asia/Shanghai,常德,常德桃花源机场,1106061,726357,361.3,609.7,92522,97832
CN,ZGCJ,HJJ,Huaihua,Huaihua Zhijiang Airport,27.441389,109.699722,Asia/Shanghai,怀化,怀化芷江机场,606477,498341,28.7,22.6,27590,28709
CN,ZGDY,DYG,Dayong,Dayong Zhangjiajie Hehua Airport,29.107121,110.445686,Asia/Shanghai,张家界,张家界荷花国际机场,2870898,2209911,1779.9,1176.0,25570,20583
CN,ZGFS,FUO,Foshan,Foshan Shadi Airport,23.0825,113.070831,Asia/Shanghai,佛山,佛山沙堤机场,877725,109228,285.8,129.0,5751,817
CN,ZGGG,CAN,Guangzhou,Guangzhou Baiyun International Airport,23.392429,113.298698,Asia/Shanghai,广州,广州白云国际机场,73378475,69720403,1919926.9,1890560.0,491249,477364
CN,ZGHA,CSX,Changsha,Changsha Huanghua International Airport,28.196667,113.220833,Asia/Shanghai,长沙,长沙黄花国际机场,26911393,25266251,175724.5,155513.1,196213,186772
CN,ZGHC,HCJ,Hechi,Hechi Jinchengjiang Airport,24.78389,107.699722,Asia/Shanghai,河池,河池金城江机场,20963,22446,0.0,,650,567
CN,ZGHY,HNY,Hengyang,Hengyang Nanyue Airport,26.721945,112.618057,Asia/Shanghai,衡阳,衡阳南岳机场,1102857,816232,1258.6,760.0,11095,8646
CN,ZGHZ,HUZ,Huizhou,Huizhou Pingtan Airport,23.050419,114.596863,Asia/Shanghai,惠州,惠州平潭机场,2553545,1879645,8915.7,5501.3,20251,15110
CN,ZGKL,KWL,Guilin,Guilin Liangjiang International Airport,25.2181,110.039101,Asia/Shanghai,桂林,桂林两江国际机场,8552654,8732176,30313.2,27074.5,68126,71364
CN,ZGLG,LLF,,,26.341111,111.617777,Asia/Shanghai,永州,永州零陵机场,70849,250102,1.6,11.8,958,3374
CN,ZGMX,MXZ,Meixian,Meixian Airport,24.268999,116.103996,Asia/Shanghai,梅州,梅县机场,672614,512504,157.1,198.8,8243,6486
CN,ZGNN,NNG,Nanning,Nanning Wuxu International Airport,22.608259,108.172401,Asia/Shanghai,南宁,南宁吴圩国际机场,15762341,15091614,122248.9,118035.6,114658,113474
CN,ZGOW,SWA,Jieyang,Jieyang Chaoshan International Airport,23.5525,116.505836,Asia/Shanghai,揭阳,揭阳潮汕国际机场,7353521,6493930,27810.9,25249.7,55905,55564
CN,ZGSD,ZUH,Zhuhai,Zhuhai Jinwan Airport,22.00666,113.376297,Asia/Shanghai,珠海,珠海金湾机场,12282982,11220703,50989.4,46393.0,88989,85380
CN,ZGSY,WGN,Shaoyang,Shaoyang Wugang Airport,26.802,110.641998,Asia/Shanghai,邵阳,邵阳武冈机场,386367,469694,0.8,0.5,4268,5194
CN,ZGSZ,SZX,Shenzhen,Shenzhen Bao'an International Airport,22.63925,113.8106,Asia/Shanghai,深圳,深圳宝安国际机场,52931925,49348950,1283385.6,1218502.2,370180,355907
CN,ZGWZ,WUZ,Wuzhou,Wuzhou Xijiang Airport,23.40356,111.099651,Asia/Shanghai,梧州,梧州西江机场,226410,,1.1,,82793,107361
CN,ZGYY,YYA,Yueyang,Yueyang Sanhe Airport,29.312778,113.28167,Asia/Shanghai,岳阳,岳阳三荷机场,556266,1469,45.3,,5640,12
CN,ZGZH,LZH,Liuzhou,Liuzhou Bailian Airport,24.2075,109.391098,Asia/Shanghai,柳州,柳州白莲机场,1571055,1347142,8671.9,5847.5,13864,12616
CN,ZGZJ,ZHA,Zhanjiang,Zhanjiang Airport,21.214439,110.358299,Asia/Shanghai,湛江,湛江坡头机场,2983501,2559507,6062.0,5945.1,30933,28961
CN,ZHCC,CGO,Zhengzhou,Zhengzhou Xinzheng International Airport,34.519669,113.840797,Asia/Shanghai,郑州,郑州新郑国际机场,29129328,27334730,522021.0,514922.4,216399,209646
CN,ZHES,ENH,Enshi,Enshi Xujiaping Airport,30.320278,109.485001,Asia/Shanghai,恩施,恩施许家坪机场,1426920,1039311,1629.8,1704.6,12987,9434
CN,ZHHH,WUH,Wuhan,Wuhan Tianhe International Airport,30.783751,114.208099,Asia/Shanghai,武汉,武汉天河国际机场,27150246,24500356,243193.4,221576.3,203131,187699
CN,ZHLY,LYA,Luoyang,Luoyang Beijiao Airport,34.741112,112.388298,Asia/Shanghai,洛阳,洛阳北郊机场,1537355,1313764,1151.5,1326.2,196542,180226
CN,ZHNY,NNY,Nanyang,Nanyang Jiangying Airport,32.98,112.610001,Asia/Shanghai,南阳,南阳姜营机场,1177895,907505,1016.9,1084.6,62205,52987
CN,ZHSN,HPG,Shennongjia,Shennongjia Hongping Airport,31.633612,110.338058,Asia/Shanghai,神农架,神农架红坪机场,44446,20321,,,898,482
