country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
US,KAAF,AAF,,,29.7275,-85.027496,America/New_York,Apalachicola,Apalachicola Regional
US,KAAP,AAP,,,29.722499,-95.588302,America/Chicago,休斯顿,Andrau Airpark
US,KABE,ABE,Allentown,Allentown Lehigh Valley,40.652302,-75.440399,America/New_York,Allentown,Lehigh Valley
US,KABI,ABI,Abilene,Abilene Regional,32.411301,-99.681801,America/Chicago,Abilene,Abilene Regional
US,KABQ,ABQ,Albuquerque,Albuquerque,35.040218,-106.609001,America/Denver,Albuquerque,AlbuquerqueSunport
US,KABR,ABR,Aberdeen,Aberdeen Regional,45.439999,-98.419998,America/Chicago,Aberdeen,Aberdeen Regional
US,KABY,ABY,Albany,Albany Southwest Georgia Regional,31.535509,-84.194397,America/New_York,Albany,Southwest Georgia Regional
US,KACK,ACK,nulltucket,nulltucket Memorial,41.253052,-70.060097,America/New_York,nulltucket,nulltucket Memorial
US,KACT,ACT,Waco,Waco Regional,31.61128,-97.230499,America/Chicago,Waco,Waco Regional
US,KACV,ACV,Eureka,Eureka Arcata,40.978111,-124.108002,America/Los_Angeles,Arcata CA,California Redwood Coast-Humboldt County
US,KACY,ACY,Atlantic City,Atlantic City,39.457581,-74.577103,America/New_York,Atlantic City,Atlantic City
US,KADH,ADT,,,34.804298,-96.671303,America/Chicago,Ada,Ada Regional
US,KADM,ADM,Ardmore,Ardmore Municipal,34.303009,-97.0196,America/Chicago,Ardmore,Ardmore Municipal
US,KADS,ADS,Dallas,Dallas Addison,32.959999,-96.830002,America/Chicago,Addison,Addison
US,KADW,ADW,,,38.810799,-76.866997,America/New_York,Camp Springs,Andrews Air Force Base
US,KAEX,AEX,Alexandria,Alexandria,31.32737,-92.5485,America/Chicago,Alexandria,Alexandria
US,KAFW,AFW,Fort Worth,Fort Worth Alliance,32.98,-97.309998,America/Chicago,Fort Worth,Fort Worth Alliance
US,KAGC,AGC,,,40.3544,-79.930198,America/New_York,Pittsburgh,Allegheny County
US,KAGS,AGS,Augusta,Augusta Regional,33.369942,-81.9645,America/New_York,Bush Field,Augusta Regional At Bush Field
US,KAHN,AHN,,,33.9486,-83.326301,America/New_York,Athens,Athens Ben Epps
US,KAIA,AIA,Alliance,Alliance Municipal,42.053219,-102.803001,America/Denver,Alliance,Alliance Municipal
US,KAIK,AIK,,,33.649398,-81.684997,America/New_York,Aiken,Aiken Municipal
US,KAIZ,AIZ,,,38.096,-92.549499,America/Chicago,Kaiser Lake Ozark,Lee C Fine Memorial
US,KAKO,AKO,,,40.175598,-103.222,America/Denver,Akron,Colorado Plains Regional
US,KAKR,AKC,,,41.037498,-81.466903,America/New_York,Akron,Akron Fulton
US,KALB,ALB,Albany,Albany,42.749111,-73.801903,America/New_York,Albany,Albany
US,KALI,ALI,,,27.7409,-98.026901,America/Chicago,Alice,Alice
US,KALM,ALM,,,32.8399,-105.990997,America/Denver,Alamogordo,Alamogordo White Sands Regional
US,KALO,ALO,Waterloo,Waterloo Regional,42.549999,-92.400002,America/Chicago,Waterloo,Waterloo Regional
US,KALS,ALS,Alamosa,Alamosa San Luis Valley Regional,37.43491,-105.865997,America/Denver,Alamosa,San Luis Valley Regional Bergman Field
US,KALW,ALW,Walla Walla,Walla Walla,46.09,-118.279999,America/Los_Angeles,Walla Walla,Walla Walla Regional
US,KAMA,AMA,Amarillo,Amarillo Rick Husband,35.21936,-101.705002,America/Chicago,Amarillo,Rick Husband Amarillo
US,KANB,ANB,,,33.588199,-85.8581,America/Chicago,Anniston,Anniston Metropolitan
US,KAND,AND,,,34.494598,-82.709396,America/New_York,Andersen,Anderson Regional
US,KANP,ANP,,,38.942902,-76.568398,America/New_York,Annapolis,Lee
US,KANQ,ANQ,,,41.639702,-85.083504,America/New_York,Angola,Tri State Steuben County
US,KAOH,AOH,,,40.706902,-84.026703,America/New_York,利马,利马 Allen County
US,KAOO,AOO,Altoona,Altoona Blair County,40.296371,-78.32,America/New_York,Altoona,Altoona Blair County
US,KAPA,APA,,,39.570098,-104.848999,America/Denver,丹佛,Centennial
US,KAPC,APC,,,38.2132,-122.280998,America/Los_Angeles,Napa,Napa County
US,KAPF,APF,Naples,Naples Municipal,26.152201,-81.775703,America/New_York,Naples,Naples Municipal
US,KAPG,APG,,,39.466202,-76.1688,America/New_York,Aberdeen,Phillips Army Air Field
US,KAPN,APN,Alpena,Alpena County Regional,45.081669,-83.555832,America/New_York,Alpena,Alpena County Regional
